,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Year
734,STAGE,Entertainment,Venture - Series Unknown,1000000.0,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2019.0,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,2020
735,Nykaa,Consumer Goods,Venture - Series Unknown,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2012.0,Falguni Nayar,"Alia Bhatt, Katrina Kaif",2020
736,Kaagaz Scanner,Scanning app,Venture - Series Unknown,575000.0,,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020.0,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,2020
737,NIRA,FinTech,Venture - Series Unknown,1000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2017.0,"Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",2020
738,Prolixr,Skincare startup,Seed,,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2018.0,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",2020
739,Byju's,EdTech,Venture - Series Unknown,200000000.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2011.0,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",2020
740,DaMENSCH,E-Commerce,Venture - Series Unknown,6000000.0,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2018.0,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",2020
741,Country Delight,Food and Beverages,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2015.0,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",2020
742,SignalX,AI,Seed,800000.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2018.0,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",2020
743,Lancify,EdTech,Venture - Series Unknown,300000.0,Bangalore,Lancify is building the world's strongest young workforce,2018.0,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",2020
744,Krimanshi,Biotechnology company,Seed,600000.0,Jaipur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2015.0,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",2020
745,Instoried,AI,Pre-series A,1000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2018.0,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",2020
746,PlayerzPot,Gaming startup,Series A,3000000.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2015.0,"Yogesh, Mitesh Gangar",,2020
747,Instamojo,FinTech,Venture - Series Unknown,,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2012.0,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital",2020
748,Turtlemint,HealthTech,Venture - Series Unknown,30000000.0,Mumbai,Turtlemint has built Indian personalized insurance platform,2015.0,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator",2020
749,Arata,E-Commerce,Pre-series A,1000000.0,Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2017.0,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,2020
750,MPL,Gaming startup,Venture - Series Unknown,5000000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",2020
751,True Balance,FinTech,Venture - Series Unknown,28000000.0,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2014.0,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners",2020
752,Thrive,FoodTech,Pre-series A,,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020.0,"Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital",2020
753,Kitchens Centre,Proptech,Pre-series A,,Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2019.0,Lakshay Jain,"Jonathan Swanson, Ankush Gera",2020
754,Prescribe,HealthTech,Venture - Series Unknown,100000.0,Chennai,Provide online services to patients by leveraging WhatsApp.,2019.0,Nived Narayanan,Titan Capital,2020
755,Nepra,CleanTech,Series C,18000000.0,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2006.0,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",2020
756,inFeedo,Tech,Venture - Series Unknown,3200000.0,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2013.0,Tanmaya Jain,"Peyush Bansal, Ritesh Malik",2020
757,Shilpa Sciences,HealthTech,Pre-series A,,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2014.0,Ashwin Lal,AngelList India,2020
758,Arzooo,Tech,Venture - Series Unknown,,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2016.0,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",2020
759,MindTickle,SaaS platform,Debt Financing,100000000.0,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2011.0,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",2020
760,Krimanshi,Biotechnology company,Seed,600000.0,Jaipur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2015.0,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",2020
761,Slice,FinTech,Debt Financing,5000000.0,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2016.0,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",2020
762,Rapawalk,E-Commerce,Seed,300000.0,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2017.0,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",2020
763,Oga Fit's,Fitness startup,Pre-series A,,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2017.0,Ashish Rawat,9Unicorns,2020
764,LAVAL,Consumer Goods,Pre-series A,,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2016.0,"Shrishti, Prithika",Jazal Group,2020
765,Stride Ventures,Venture capitalist,Venture - Series Unknown,80000000.0,Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2019.0,Ishpreet Gandhi,Small Industries Development Bank of India,2020
